state,district,month,enrol_0_17,demo_0_17,enrol_total,cis,root_cause
Rajasthan,Ajmer,2025-06,0.0,1126.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Haryana,Akhera,2025-11,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Akola,2025-03,0.0,556.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Maharashtra,Akola,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Akola,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Akola,2025-06,0.0,123.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Kerala,Alappuzha,2025-03,0.0,206.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Kerala,Alappuzha,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Kerala,Alappuzha,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Kerala,Alappuzha,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Kerala,Alappuzha,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
West Bengal,Alipurduar,2025-03,0.0,207.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Alirajpur,2025-03,0.0,504.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Allahabad,2025-03,0.0,3797.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Allahabad,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Allahabad,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Allahabad,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Allahabad,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Alluri Sitharama Raju,2025-03,0.0,507.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Alluri Sitharama Raju,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Alluri Sitharama Raju,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Alluri Sitharama Raju,2025-06,0.0,29.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Alluri Sitharama Raju,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttarakhand,Almora,2025-03,0.0,458.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttarakhand,Almora,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttarakhand,Almora,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttarakhand,Almora,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttarakhand,Almora,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttarakhand,Almora,2025-09,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Rajasthan,Alwar,2025-03,0.0,4299.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Haryana,Ambala,2025-03,0.0,516.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Haryana,Ambala,2025-04,0.0,470.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Haryana,Ambala,2025-05,0.0,502.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Haryana,Ambala,2025-07,0.0,107.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Ambedkar Nagar,2025-03,0.0,1731.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Ambedkar Nagar,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Ambedkar Nagar,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Ambedkar Nagar,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Amethi,2025-03,0.0,1407.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Amethi,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Amethi,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Amethi,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Amethi,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Amravati,2025-03,0.0,1169.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Maharashtra,Amravati,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Amravati,2025-05,0.0,24.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Gujarat,Amreli,2025-03,0.0,1128.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Gujarat,Amreli,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Gujarat,Amreli,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Punjab,Amritsar,2025-06,0.0,764.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Amroha,2025-03,0.0,1126.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Amroha,2025-05,0.0,372.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Amroha,2025-07,0.0,894.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Anakapalli,2025-03,0.0,373.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Anakapalli,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Anakapalli,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Anakapalli,2025-06,0.0,94.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Anakapalli,2025-07,0.0,84.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Gujarat,Anand,2025-03,0.0,1001.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Anantapur,2025-03,0.0,953.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Anantapur,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Anantapur,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Anantapur,2025-06,0.0,54.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Anantapur,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Ananthapur,2025-03,0.0,2020.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Ananthapur,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Ananthapur,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Ananthapur,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Ananthapur,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Ananthapuramu,2025-03,0.0,2547.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Ananthapuramu,2025-04,0.0,440.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Ananthapuramu,2025-05,0.0,1538.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Ananthapuramu,2025-06,0.0,943.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Ananthapuramu,2025-07,0.0,1146.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Jammu and Kashmir,Anantnag,2025-03,0.0,1210.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Jammu and Kashmir,Anantnag,2025-04,0.0,571.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Jammu and Kashmir,Anantnag,2025-05,0.0,348.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Jammu and Kashmir,Anantnag,2025-06,0.0,181.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Jammu and Kashmir,Anantnag,2025-07,0.0,350.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Jammu and Kashmir,Anantnag,2025-10,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Jammu and Kashmir,Anantnag,2025-11,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andaman and Nicobar Islands,Andamans,2025-03,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andaman and Nicobar Islands,Andamans,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andaman and Nicobar Islands,Andamans,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andaman and Nicobar Islands,Andamans,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andaman and Nicobar Islands,Andamans,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Angul,2025-03,0.0,1105.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Odisha,Angul,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Angul,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Angul,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Angul,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Angul,2025-09,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Angul,2025-11,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Angul,2025-12,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Arunachal Pradesh,Anjaw,2025-03,0.0,24.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Arunachal Pradesh,Anjaw,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Arunachal Pradesh,Anjaw,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Arunachal Pradesh,Anjaw,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Arunachal Pradesh,Anjaw,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Annamayya,2025-03,0.0,526.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Annamayya,2025-04,0.0,314.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Annamayya,2025-05,0.0,917.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Annamayya,2025-06,0.0,1335.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Annamayya,2025-07,0.0,698.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Odisha,Anugal,2025-09,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Anugal,2025-11,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Anugul,2025-03,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Anugul,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Anugul,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Anugul,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Anugul,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Anugul,2025-11,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Madhya Pradesh,Anuppur,2025-03,0.0,353.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Anuppur,2025-04,0.0,695.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Anuppur,2025-05,0.0,533.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Anuppur,2025-06,0.0,116.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Anuppur,2025-07,0.0,660.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Bihar,Araria,2025-03,0.0,2774.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Bihar,Araria,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Bihar,Araria,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Tamil Nadu,Ariyalur,2025-03,0.0,511.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Tamil Nadu,Ariyalur,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Tamil Nadu,Ariyalur,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Tamil Nadu,Ariyalur,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Tamil Nadu,Ariyalur,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Gujarat,Arvalli,2025-03,0.0,740.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Gujarat,Arvalli,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Gujarat,Arvalli,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Bihar,Arwal,2025-03,0.0,558.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Bihar,Arwal,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Bihar,Arwal,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Madhya Pradesh,Ashok Nagar,2025-03,0.0,767.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Ashok Nagar,2025-06,0.0,441.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Ashok Nagar,2025-07,0.0,1227.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Auraiya,2025-03,0.0,1351.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Auraiya,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Auraiya,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Auraiya,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Auraiya,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Auraiya,2025-11,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Bihar,Aurangabad,2025-03,0.0,2788.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Bihar,Aurangabad,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Bihar,Aurangabad,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Aurangabad,2025-05,0.0,322.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Bihar,Aurangabad,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Aurangabad,2025-06,0.0,808.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Bihar,Aurangabad,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Bihar,Aurangabad(BH),2025-10,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Ayodhya,2025-03,0.0,498.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Ayodhya,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Ayodhya,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Azamgarh,2025-03,0.0,3951.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Azamgarh,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Balangir,2025-09,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Jammu and Kashmir,Badgam,2025-03,0.0,325.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Jammu and Kashmir,Badgam,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Jammu and Kashmir,Badgam,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Jammu and Kashmir,Badgam,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Jammu and Kashmir,Badgam,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Jammu and Kashmir,Badgam,2025-09,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Jammu and Kashmir,Badgam,2025-10,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Jammu and Kashmir,Badgam,2025-12,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Karnataka,Bagalkot,2025-03,0.0,6710.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Karnataka,Bagalkot,2025-04,0.0,567.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Karnataka,Bagalkot,2025-05,0.0,1084.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Karnataka,Bagalkot,2025-06,0.0,392.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Karnataka,Bagalkot,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Karnataka,Bagalkot,2025-03,0.0,24.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Karnataka,Bagalkot,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Karnataka,Bagalkot,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Karnataka,Bagalkot,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Karnataka,Bagalkot,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttarakhand,Bageshwar,2025-03,0.0,271.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttarakhand,Bageshwar,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttarakhand,Bageshwar,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttarakhand,Bageshwar,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttarakhand,Bageshwar,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Baghpat,2025-03,0.0,1142.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Baghpat,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Baghpat,2025-09,0.0,1.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Baghpat,2025-10,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Bagpat,2025-09,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Bagpat,2025-10,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Bagpat,2025-12,0.0,2.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Balaghat,2025-03,0.0,2745.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Balaghat,2025-04,0.0,1622.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Balaghat,2025-05,0.0,1708.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Balaghat,2025-06,0.0,2576.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Odisha,Balangir,2025-03,0.0,1097.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Odisha,Balangir,2025-03,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Balangir,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Balangir,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Balangir,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Balangir,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Balangir,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Balangir,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Balangir,2025-07,0.0,310.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Odisha,Balangir,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleshwar,2025-03,0.0,73.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Odisha,Baleshwar,2025-03,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleshwar,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleshwar,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleshwar,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleshwar,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleshwar,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleshwar,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleshwar,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleshwar,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleswar,2025-03,0.0,2522.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Odisha,Baleswar,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleswar,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleswar,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleswar,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleswar,2025-09,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Baleswar,2025-11,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Balianta,2025-12,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Karnataka,Ballari,2025-03,0.0,1424.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Karnataka,Ballari,2025-04,0.0,116.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Karnataka,Ballari,2025-05,0.0,676.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Karnataka,Ballari,2025-06,0.0,350.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Karnataka,Ballari,2025-07,0.0,656.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Ballia,2025-03,0.0,2357.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Uttar Pradesh,Ballia,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Ballia,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Ballia,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Uttar Pradesh,Ballia,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
West Bengal,Bally Jagachha,2025-09,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
