district,cis_mean,adult_child_ratio,enrol_mean,enrol_std,enrol_total_sum,child_enrol_mean,adult_enrol_mean,momentum,coverage_gap,update_lag,num_pincodes,enrol_per_day,state,enrol_volatility,cost_burden_index,service_efficiency,compliance_rate,roi_potential,crisis_flag,cluster,persona_name,priority,strategy,pca_1,pca_2
Ahmedabad,0.3135555555555556,5.203555555555556,2125.5555555555557,2309.785710358816,19130.0,2058.1111111111113,67.44444444444444,0.39133333333333337,2.320333333333333,20172.31788888889,36.888888888888886,2.5250226977777777,Gujarat,1.086162881719491,1.0,0.048887177110895984,-20171.31788888889,0.13817861373551762,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,2.9992447749769546,2.897765302861245
Ahmednagar,0.997,0.082,368.0,,368.0,340.0,28.0,0.0,-0.905,0.0,2.0,5.935,Maharashtra,,,0.11490803484995159,1.0,,0,1,🟢 High Performance,4.0,Maintain + share best practices,-5.530584230137577,2.0601948824929353
Aizawl,0.23333333333333334,2.445222222222222,117.66666666666667,160.83376511168294,1059.0,110.88888888888889,6.777777777777778,0.24477777777777776,3.111,3844.504111111111,7.333333333333333,0.030312541666666668,Mizoram,1.3553407172332832,1.0,0.0005868836721523073,-3843.504111111111,0.0076493022449510275,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,2.0860436305511647,0.17609294420124924
Ajmer,0.4096666666666666,5.3551111111111105,1348.3333333333333,1370.901801734902,12135.0,1331.888888888889,16.444444444444443,0.24044444444444446,1.2918888888888889,11441.86611111111,24.0,5.690441513333333,Rajasthan,1.01598453685887,1.0,0.11017311739270733,-11440.86611111111,0.08765276935078443,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,1.2899831585674912,1.5507335732387728
Akhera,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.889,1.0,0.0,0.0,Haryana,,,0.0,0.0,,1,1,🟢 High Performance,4.0,Maintain + share best practices,-4.067273423725829,-0.5782911379407661
Akola,0.39555555555555555,6.169444444444444,523.1111111111111,554.1180931093219,4708.0,517.6666666666666,5.444444444444445,0.3502222222222222,-0.042333333333333334,10234.666888888889,12.222222222222221,2.3331421354444446,Maharashtra,1.0572530926402157,1.0,0.04517216138324191,-10233.666888888889,0.03400652971598625,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.3909403650883594,0.1558767064964848
Alappuzha,0.2571111111111111,3.876222222222222,395.44444444444446,483.04971563781896,3559.0,380.8888888888889,14.555555555555555,0.2928888888888889,0.756,6802.336888888889,49.22222222222222,0.02047422888888889,Kerala,1.218455000207503,1.0,0.00039640326987200173,-6801.336888888889,0.02570714512727168,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.8909200198413542,-0.25048021715717034
Aligarh,0.6358888888888888,4.168333333333333,2910.222222222222,1646.2946863925802,26192.0,2845.1111111111113,65.11111111111111,0.15522222222222223,0.849,25.04111111111111,18.333333333333332,14.285856113333333,Uttar Pradesh,0.5654994915283089,1.0,0.27658966337528235,-24.04111111111111,0.18918840830949699,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.6541401698668021,2.8356725131781397
Alipurduar,0.6403333333333333,2.766,408.1111111111111,491.1566563848149,3673.0,359.44444444444446,48.666666666666664,0.12355555555555557,-0.11088888888888888,355.6951111111111,12.0,1.8155582286666667,West Bengal,1.200545873835778,1.0,0.035151175772829946,-354.6951111111111,0.026530582762705496,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.787266781011476,-0.07930247020614926
Alirajpur,0.7688888888888888,2.578222222222222,778.8888888888889,522.1471163485547,7010.0,737.8888888888889,41.0,0.2574444444444445,-0.3,1381.4296666666667,4.666666666666667,4.29775359,Madhya Pradesh,0.6695147524058972,1.0,0.0832091692158761,-1380.4296666666667,0.050634191442027104,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-1.5348648327289218,0.8566198488036368
Allahabad,0.21133333333333335,3.488222222222222,1472.111111111111,1974.0218745270051,13249.0,1466.6666666666667,5.444444444444445,0.2611111111111111,1.2537777777777777,24063.64688888889,20.22222222222222,0.07245153666666666,Uttar Pradesh,1.3400359685279113,1.0,0.0014027403033236528,-24062.64688888889,0.09569934413914652,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,3.114644877355311,1.725735032126814
Alluri Sitharama Raju,0.24077777777777776,2.815,139.44444444444446,169.217397976029,1255.0,135.66666666666666,3.7777777777777777,0.2931111111111111,-0.3595555555555555,1778.7423333333334,14.333333333333334,0.02407831722222222,Andhra Pradesh,1.2048707134369152,1.0,0.00046618232763256966,-1777.7423333333334,0.009065037126924967,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.22271873564168965,-1.2648063758957242
Almora,0.2064,2.2713,136.7,180.66485238941436,1367.0,135.9,0.8,0.298,0.5921,2028.2535,12.5,0.0220214033,Uttarakhand,1.3120178096544255,1.0,0.0004263582439496612,-2027.2535,0.008886625639247638,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.5035603452190887,-1.003067054529589
Alwar,0.6305555555555555,3.288555555555556,2598.1111111111113,2326.4199128942973,23383.0,2564.222222222222,33.888888888888886,0.4334444444444444,1.0482222222222222,9343.296666666667,22.0,13.227808765555555,Rajasthan,0.8950829008228742,1.0,0.2561047195654512,-9342.296666666667,0.16889861604692152,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.6553153372974007,2.9868286533964565
Ambala,0.31177777777777776,4.6641111111111115,357.55555555555554,388.35683047653197,3218.0,353.8888888888889,3.6666666666666665,0.4146666666666667,0.641888888888889,5874.107111111111,8.88888888888889,1.0950076499999999,Haryana,1.08311480455184,1.0,0.021200535333978702,-5873.107111111111,0.023244055358123142,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.5029085773670122,-0.1726574466499515
Ambedkar Nagar,0.3552222222222222,2.959,889.1111111111111,1126.1733264072236,8002.0,883.5555555555555,5.555555555555555,0.149,0.6271111111111112,6572.491444444445,14.11111111111111,1.218579247777778,Uttar Pradesh,1.2652053348726766,1.0,0.02359301544584275,-6571.491444444445,0.057799543497731934,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.7664344748747313,0.3045531119234755
Amethi,0.24633333333333335,3.421222222222222,799.6666666666666,1056.0066287670736,7197.0,793.4444444444445,6.222222222222222,0.26811111111111113,0.9365555555555556,8604.573888888888,16.444444444444443,0.05776900666666666,Uttar Pradesh,1.3189091949630396,1.0,0.001118470603420458,-8603.573888888888,0.05198491808962469,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,1.3400773523450058,0.18996924714275742
Amravati,0.3886666666666667,6.716111111111111,768.3333333333334,775.6171736107963,6915.0,756.4444444444445,11.88888888888889,0.48688888888888887,0.3861111111111111,13360.872555555556,18.77777777777778,3.858842833333333,Maharashtra,1.0081679033069275,1.0,0.0747113810906744,-13359.872555555556,0.04994799341249892,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.9081413832926917,0.7462469909325417
Amreli,0.522,2.4945555555555554,477.0,450.20300976337325,4293.0,449.6666666666667,27.333333333333332,0.32433333333333336,0.49677777777777776,4055.8046666666664,16.444444444444443,1.169734038888889,Gujarat,0.9418473007601951,1.0,0.022647319242766487,-4054.8046666666664,0.03100892779752102,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.20535073437238044,0.34114716647224325
Amritsar,0.5337777777777778,6.958444444444445,1072.7777777777778,736.7399096319165,9655.0,1045.3333333333333,27.444444444444443,0.07922222222222222,1.3147777777777778,3515.752111111111,17.666666666666668,12.135862736,Punjab,0.6861195350462798,1.0,0.23496346052274927,-3514.752111111111,0.06973938921152235,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.022506240866127337,1.349823275027654
Amroha,0.4896666666666667,5.918666666666667,904.6666666666666,859.2301787064977,8142.0,897.8888888888889,6.777777777777778,0.29988888888888887,-0.24611111111111109,7238.190555555555,6.333333333333333,4.42444505111111,Uttar Pradesh,0.9487267339416611,1.0,0.08566205326449391,-7237.190555555555,0.05881078269914189,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.2135285553435638,0.5073193732402913
Anakapalli,0.14255555555555555,3.9653333333333336,60.333333333333336,75.03665770808293,543.0,59.44444444444444,0.8888888888888888,0.31555555555555553,-0.3691111111111111,928.1564444444443,14.444444444444445,0.01679171122222222,Andhra Pradesh,1.2234237669796129,1.0,0.0003251057351833925,-927.1564444444443,0.003922163474040045,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.14856566850032066,-1.6285903801500268
Anand,0.7336666666666667,2.7957777777777775,775.5555555555555,665.7695004863002,6980.0,716.0,59.55555555555556,0.44855555555555554,1.5163333333333333,2976.726888888889,29.666666666666668,1.9887071633333333,Gujarat,0.8573366009982404,1.0,0.038503526879638594,-2975.726888888889,0.050417497327439255,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.10910533318563558,1.5061606322145569
Anantapur,0.16977777777777778,5.987111111111111,490.55555555555554,616.9001359845674,4415.0,490.55555555555554,0.0,0.27411111111111114,0.7188888888888889,8210.513444444445,39.55555555555556,0.024318099333333332,Andhra Pradesh,1.254995755845639,1.0,0.00047082476928041303,-8209.513444444445,0.03189015053017827,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,1.1854596570551443,-0.32767433897434356
Ananthapur,0.12544444444444444,1.156111111111111,221.55555555555554,264.8452902692018,1994.0,221.55555555555554,0.0,0.311,0.6535555555555556,7781.453333333334,36.888888888888886,0.01965099888888889,Andhra Pradesh,1.1900187780443419,1.0,0.0003804646445089814,-7780.453333333334,0.01440293548293895,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,1.0683173681408051,-0.673483881367255
Ananthapuramu,0.18000000000000002,3.1966666666666668,354.1111111111111,430.5361321783703,3187.0,353.0,1.1111111111111112,0.294,0.6993333333333334,12595.336888888889,39.22222222222222,0.022896013666666666,Andhra Pradesh,1.2123983697138088,1.0,0.00044329164891900616,-12594.336888888889,0.023020138106382364,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,1.5001623335061625,-0.1402087026350595
Anantnag,0.28107692307692306,3.294,258.0,408.7221957923662,3354.0,255.30769230769232,2.6923076923076925,0.231,0.6411538461538462,3325.8773076923076,4.846153846153846,0.04938177153846154,Jammu and Kashmir,1.578077976032302,1.0,0.0009560846377243279,-3324.8773076923076,0.01677212446909942,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.8510835377683437,-0.794905394898746
Andamans,0.38922222222222225,4.147555555555556,8.333333333333334,10.594810050208546,75.0,8.333333333333334,0.0,0.3045555555555556,0.2698888888888889,118.42622222222222,2.2222222222222223,0.015130688333333333,Andaman and Nicobar Islands,1.1351582196652013,1.0,0.00029294653113907715,-117.42622222222222,0.0005417352864696195,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.34307515077261364,-0.8224370127360031
Angul,0.15225,1.757125,188.125,387.75075757501753,3010.0,187.25,0.875,0.049687499999999996,-0.06537500000000002,2972.80875,7.0,0.023692852125,Odisha,2.050235334170615,1.0,0.0004587193054211036,-2971.80875,0.01222967409205166,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,1.1342685856701122,-1.770274086016488
Anjaw,0.08955555555555555,2.277,4.111111111111111,7.131697631778223,37.0,3.7777777777777777,0.3333333333333333,0.23811111111111108,-0.2222222222222222,118.11866666666667,0.4444444444444444,0.022901235000000002,Arunachal Pradesh,1.3953321453479133,1.0,0.0004433927395934173,-117.11866666666667,0.0002672560746583456,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.12258439862688891,-1.8962882316960559
Annamayya,0.14666666666666664,4.357555555555555,113.44444444444444,138.67057286164854,1021.0,101.77777777777777,11.666666666666666,0.309,-0.25477777777777777,2899.8985555555555,19.11111111111111,0.02032026,Andhra Pradesh,1.2116846172377056,1.0,0.0003934222652468538,-2898.8985555555555,0.007374823033139753,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.08581014768087832,-1.400677041929055
Anugal,0.29175,2.08325,0.75,0.9574271077563382,3.0,0.75,0.0,0.25,-0.86525,2.75,0.5,0.015,Odisha,0.5471012044321932,1.0,0.0002904162633107454,-1.75,4.8756175782265756e-05,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-1.498111023636201,-1.16580036410935
Anugul,0.35845454545454547,3.049136363636364,9.409090909090908,17.061957379222044,207.0,9.409090909090908,0.0,0.30822727272727274,-0.1467272727272727,37.788636363636364,3.772727272727273,0.01863714768181818,Odisha,1.6391400102309388,1.0,0.00036083538590161047,-36.788636363636364,0.0006116683870866067,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.024504301034657196,-1.3907022169599876
Anuppur,0.3042222222222222,4.0152222222222225,358.44444444444446,447.70389520058654,3226.0,357.0,1.4444444444444444,0.36744444444444446,0.17777777777777778,7522.781222222223,6.888888888888889,0.07158943044444444,Madhya Pradesh,1.2455440670186333,1.0,0.0013860489921480046,-7521.781222222223,0.023301840455346567,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.5886008585203826,-0.3875743668434462
Araria,0.5232222222222221,3.8642222222222222,1731.0,1760.7986114260768,15579.0,1717.111111111111,13.88888888888889,0.5137777777777778,-0.00011111111111112354,12213.242333333334,8.666666666666666,3.290142623333333,Bihar,1.0166273738025848,1.0,0.06370072842852532,-12212.242333333334,0.11252925370546936,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.5185054781695718,1.6501476607713788
Ariyalur,0.1667777777777778,2.3795555555555556,268.0,338.41283959093516,2412.0,259.1111111111111,8.88888888888889,0.2786666666666667,-0.3373333333333333,6824.590333333334,12.88888888888889,0.032286086,Tamil Nadu,1.2580402958770824,1.0,0.0006250936302032914,-6823.590333333334,0.017422206812862964,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.44496674317201373,-1.0508499182082434
Arvalli,0.4811111111111111,1.0804444444444445,265.6666666666667,245.28452866008487,2391.0,252.66666666666666,13.0,0.262,-0.1567777777777778,1423.2423333333334,9.333333333333334,1.4922896672222223,Gujarat,0.9198169824753182,1.0,0.02889234592879424,-1422.2423333333334,0.01727052093265147,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.8055206783825456,-0.3514200155975692
Arwal,0.5094444444444445,2.961888888888889,429.55555555555554,397.2779603473842,3866.0,425.77777777777777,3.7777777777777777,0.33344444444444443,-0.2857777777777778,2154.2836666666667,6.333333333333333,2.6395654933333335,Bihar,0.9227101014519891,1.0,0.0511048498225234,-2153.2836666666667,0.02792464823322065,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.8279292743843875,-0.15688948064159794
Ashok Nagar,0.35533333333333333,4.302555555555555,575.3333333333334,694.1464182721106,5178.0,556.7777777777778,18.555555555555557,0.15255555555555556,-0.23333333333333334,5738.301666666666,4.555555555555555,1.586758638888889,Madhya Pradesh,1.2044183081644486,1.0,0.03072136764547704,-5737.301666666666,0.037401404177862536,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.09882013139521066,-0.33448177975144355
Ashoknagar,0.9995,0.0305,1505.5,901.5611460128481,3011.0,1458.5,47.0,0.0,-0.8,0.0,2.5,18.7541665,Madhya Pradesh,0.5984474915452028,0.036106849492712145,0.3631009970958374,1.0,0.5798164721072454,0,1,🟢 High Performance,4.0,Maintain + share best practices,-4.57362275603481,2.6721168025363977
Auraiya,0.1888,2.8521,373.3,536.9725939623611,3733.0,371.6,1.7,0.2432,-0.1715,5732.7618,6.9,0.054892719,Uttar Pradesh,1.434604846279351,1.0,0.0010627825556631173,-5731.7618,0.024267573892693076,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.6138867148627848,-1.016728422745326
Aurangabad,0.3838333333333333,4.502944444444444,1531.2777777777778,1604.2548134682183,27563.0,1519.1666666666667,12.11111111111111,0.049,0.3848888888888889,8956.514055555555,15.38888888888889,8.632040097222223,Bihar,1.0469738821082604,1.0,0.1671256553189201,-8955.514055555555,0.09954566467308082,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.6497327467730492,1.1005139823735466
Aurangabad(BH),0.448,2.1355,2.0,2.160246899469287,8.0,2.0,0.0,0.25,-0.768,3.5,1.75,0.0225,Bihar,0.7200822998230957,1.0,0.0004356243949661181,-2.5,0.00013001646875270868,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-1.4861978300075949,-0.8682601282351422
Aurangabad(bh),0.7755000000000001,4.8759999999999994,26.25,9.604686356149273,105.0,26.25,0.0,-0.13825,-0.12525,8.87275,8.75,0.041661804499999996,Bihar,0.35246555435410176,1.0,0.0008066177057115197,-7.87275,0.0017064661523793015,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-2.026170789989826,0.41889021499316437
Ayodhya,0.41344444444444445,2.8767777777777774,188.11111111111111,208.13904273612653,1693.0,184.55555555555554,3.5555555555555554,0.30866666666666664,0.4362222222222222,827.247,15.0,2.485011699333333,Uttar Pradesh,1.100617734797379,1.0,0.04811252080025814,-826.247,0.012228771199907545,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.23578181919770308,-0.47828484754502926
Azamgarh,0.575,2.8756666666666666,2285.8888888888887,2146.394735623229,20573.0,2254.8888888888887,31.0,0.389,1.4603333333333335,9241.666222222222,22.444444444444443,4.974259702222223,Uttar Pradesh,0.9385653785156477,1.0,0.09630706103043994,-9240.666222222222,0.14860160064719308,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.967685385878432,2.728067840216606
Badgam,0.29007692307692307,2.2045384615384616,143.6153846153846,227.50733997739445,1867.0,143.53846153846155,0.07692307692307693,0.15415384615384614,0.15384615384615385,1007.4596153846154,2.8461538461538463,0.055113640000000005,Jammu and Kashmir,1.5731890530351744,1.0,0.0010670598257502422,-1006.4596153846154,0.009336182583127196,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.32963868775343386,-1.2105327442584126
Bagalkot,0.2595,1.6593333333333335,410.6111111111111,787.7893969754404,7391.0,405.94444444444446,4.666666666666667,0.2952222222222222,-0.09650000000000002,4102.423444444445,11.444444444444445,0.038150283,Karnataka,1.9139167425506718,1.0,0.0007386308422071636,-4101.423444444445,0.026693103348646382,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.9371736547425767,-1.1884885309494386
Bageshwar,0.23500000000000001,2.143,82.44444444444444,105.12624685480681,742.0,82.22222222222223,0.2222222222222222,0.2728888888888889,-0.23911111111111114,1684.5344444444445,5.888888888888889,0.02522424733333333,Uttarakhand,1.2598351820149951,1.0,0.0004883687770248467,-1683.5344444444445,0.0053595677674727685,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.10159233485006573,-1.317212699843523
Baghpat,0.4439090909090909,2.9264545454545456,621.7272727272727,735.268534742116,6839.0,607.7272727272727,14.0,0.28363636363636363,-0.24018181818181816,2465.830363636364,6.818181818181818,3.6948370336363636,Uttar Pradesh,1.1807231944763905,1.0,0.07153605099005544,-2464.830363636364,0.040417392263626124,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.3621129363794755,-0.2709154234900944
Bagpat,0.125,1.41675,0.25,0.5,1.0,0.25,0.0,0.0,-0.857,4.125,0.25,0.0075,Uttar Pradesh,0.4,1.0,0.0001452081316553727,-3.125,1.6252058594088585e-05,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-1.4060558463418418,-1.459427647455878
Bahraich,0.7444444444444445,3.375,4370.888888888889,2960.272725799282,39338.0,4114.888888888889,256.0,0.18077777777777781,0.2858888888888889,25.195,15.444444444444445,7.795908657777777,Uttar Pradesh,0.677115270089042,1.0,0.1509372441002474,-24.195,0.2841437693218919,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.8169762302270009,4.034787104514444
Bajali,0.3395,9.116,7.25,3.593976442141304,29.0,6.75,0.5,-0.14575,-0.29575,29.108249999999998,4.5,0.031875,Assam,0.4356335081383399,1.0,0.0006171345595353341,-28.108249999999998,0.000471309699228569,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-1.3724301637974066,-0.7388735221032566
Baksa,0.7537777777777778,2.981111111111111,411.0,353.2226634857962,3699.0,366.55555555555554,44.44444444444444,0.23877777777777778,0.32311111111111107,29.607000000000003,10.777777777777779,1.7274587117777778,Assam,0.8573365618587286,1.0,0.033445473606539745,-28.607000000000003,0.026718384328681635,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-1.127745138865317,0.5669429852367225
Balaghat,0.323,3.3644444444444446,756.1111111111111,867.727411755046,6805.0,753.0,3.111111111111111,0.40288888888888885,0.6555555555555556,12997.484444444444,9.444444444444445,1.2894724233333335,Madhya Pradesh,1.1461031267677448,1.0,0.024965584188447888,-12996.484444444444,0.04915344832567681,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,1.2762359219844108,0.5859204475453113
Balanagar,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Telangana,,,0.0,-1.0,,1,1,🟢 High Performance,4.0,Maintain + share best practices,-3.5699137564946994,-0.20711988209643592
Balangir,0.25152631578947365,2.8012105263157894,298.42105263157896,585.5728738963877,5670.0,295.4736842105263,2.9473684210526314,0.11505263157894736,1.1344736842105263,4160.13747368421,10.736842105263158,0.032751818105263154,Odisha,1.9556837061050036,1.0,0.0006341107087175829,-4159.13747368421,0.01939982573231206,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,1.6749341800563395,-0.8122989979628237
Baleshwar,0.2499444444444444,2.3785000000000003,68.27777777777777,99.57191049426099,1229.0,68.27777777777777,0.0,0.07611111111111112,2.0247777777777776,769.2164444444445,16.61111111111111,0.01719697822222222,Odisha,1.437284995105612,1.0,0.00033295214370226956,-768.2164444444445,0.004438617780474416,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,1.2532477736305356,-0.5161485521462327
Baleswar,0.24484615384615382,1.333846153846154,462.9230769230769,820.6104903808365,6018.0,462.61538461538464,0.3076923076923077,0.07707692307692307,0.9729230769230769,5961.988153846154,16.0,0.030086230769230768,Odisha,1.7688503357570675,1.0,0.0005825020478069849,-5960.988153846154,0.03009381188283849,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,1.5749963651032428,-0.5288357405997371
Balianta,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,-0.923,1.0,0.0,0.0,Odisha,,,0.0,0.0,,1,1,🟢 High Performance,4.0,Maintain + share best practices,-4.086291508719112,-0.592484381652535
Ballari,0.27888888888888885,2.9134444444444445,309.0,394.83065990371114,2781.0,301.8888888888889,7.111111111111111,0.2838888888888889,0.4853333333333334,4330.151222222222,18.333333333333332,0.03325202611111111,Karnataka,1.2736472900119713,1.0,0.0006437952780466818,-4329.151222222222,0.02008754442229349,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.5277552573016989,-0.5690308971821807
Ballia,0.22099999999999997,2.759888888888889,1108.4444444444443,1409.0155349668,9976.0,1104.3333333333333,4.111111111111111,0.27366666666666667,0.9046666666666666,11719.199777777778,17.333333333333332,0.06363879333333333,Uttar Pradesh,1.2700190099850979,1.0,0.0012321160374314296,-11718.199777777778,0.07205801623761232,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,1.635054110119109,0.5986879215421907
