District,State,Risk_Score,CIS,Severity,Intervention,Priority,Budget,Duration_Days,Start_Date,End_Date,Staff_Required,Responsible_Authority,Target_Enrollments
Bagpat,Uttar Pradesh,100.0,0.125,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Bagpat,Uttar Pradesh,100.0,0.125,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Virudhunagar,Tamil Nadu,100.0,0.2028888888888889,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Virudhunagar,Tamil Nadu,100.0,0.2028888888888889,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Yamuna Nagar,Haryana,100.0,0.2575555555555555,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Yamuna Nagar,Haryana,100.0,0.2575555555555555,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Yamuna Nagar,Haryana,100.0,0.2575555555555555,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Yadadri.,Telangana,99.9,0.1795555555555555,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Yadadri.,Telangana,99.9,0.1795555555555555,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Yadadri.,Telangana,99.9,0.1795555555555555,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Y. S. R,Andhra Pradesh,99.9,0.1425555555555555,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Y. S. R,Andhra Pradesh,99.9,0.1425555555555555,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Y. S. R,Andhra Pradesh,99.9,0.1425555555555555,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Wanaparthy,Telangana,99.9,0.1566666666666666,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Wanaparthy,Telangana,99.9,0.1566666666666666,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Wanaparthy,Telangana,99.9,0.1566666666666666,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Sundergarh,Odisha,99.9,0.2335454545454545,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Sundergarh,Odisha,99.9,0.2335454545454545,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Sundergarh,Odisha,99.9,0.2335454545454545,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Sundergarh,Odisha,99.9,0.2335454545454545,🔴 CRITICAL,Digital Literacy & Awareness Program,🔴 URGENT,"₹250,000",45,2026-01-24,2026-03-10,5,District Collector Office,1500
Tehri Garhwal,Uttarakhand,99.9,0.2495,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Tehri Garhwal,Uttarakhand,99.9,0.2495,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Tehri Garhwal,Uttarakhand,99.9,0.2495,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Sri Muktsar Sahib,Punjab,99.9,0.2572222222222222,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Sri Muktsar Sahib,Punjab,99.9,0.2572222222222222,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Sri Muktsar Sahib,Punjab,99.9,0.2572222222222222,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Srikakulam,Andhra Pradesh,99.9,0.1166666666666666,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Srikakulam,Andhra Pradesh,99.9,0.1166666666666666,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Srikakulam,Andhra Pradesh,99.9,0.1166666666666666,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Theni,Tamil Nadu,99.9,0.1948888888888889,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Theni,Tamil Nadu,99.9,0.1948888888888889,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Theni,Tamil Nadu,99.9,0.1948888888888889,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Faizabad,Uttar Pradesh,99.9,0.2491111111111111,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Faizabad,Uttar Pradesh,99.9,0.2491111111111111,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Bhadrak,Odisha,99.9,0.2303333333333333,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Bhadrak,Odisha,99.9,0.2303333333333333,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Bhadrak,Odisha,99.9,0.2303333333333333,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Bhadrak,Odisha,99.9,0.2303333333333333,🔴 CRITICAL,Digital Literacy & Awareness Program,🔴 URGENT,"₹250,000",45,2026-01-24,2026-03-10,5,District Collector Office,1500
Sirsa,Haryana,99.9,0.2806666666666666,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Sirsa,Haryana,99.9,0.2806666666666666,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Sirsa,Haryana,99.9,0.2806666666666666,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Rangareddi,Andhra Pradesh,99.9,0.1617692307692307,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Rangareddi,Andhra Pradesh,99.9,0.1617692307692307,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Rangareddi,Andhra Pradesh,99.9,0.1617692307692307,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Rangareddi,Andhra Pradesh,99.9,0.1617692307692307,🔴 CRITICAL,Digital Literacy & Awareness Program,🔴 URGENT,"₹250,000",45,2026-01-24,2026-03-10,5,District Collector Office,1500
Kakinada,Andhra Pradesh,99.9,0.1535555555555555,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Kakinada,Andhra Pradesh,99.9,0.1535555555555555,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Kakinada,Andhra Pradesh,99.9,0.1535555555555555,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Jajapur,Odisha,99.9,0.2443684210526315,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Jajapur,Odisha,99.9,0.2443684210526315,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Jajapur,Odisha,99.9,0.2443684210526315,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Jajapur,Odisha,99.9,0.2443684210526315,🔴 CRITICAL,Digital Literacy & Awareness Program,🔴 URGENT,"₹250,000",45,2026-01-24,2026-03-10,5,District Collector Office,1500
Hassan,Karnataka,99.9,0.2284444444444444,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
