state,district,month,enrol_0_17,enrol_18_plus,enrol_total,enrol_total_per_day,enrol_pincodes,enrol_valid_pins,demo_0_17,demo_18_plus,demo_total,demo_total_per_day,demo_pincodes,bio_0_17,bio_18_plus,bio_total,bio_total_per_day,bio_pincodes,date,update_lag_index,demo_volatility,cis,bio_share,enrol_0_17_lag_5y,mbu_lag,enrol_momentum,service_pressure,adult_child_ratio,bio_quality_score,spatial_coverage,coverage_gap,update_velocity,cluster,district_cluster,anomaly_score,is_anomaly,state_raw,district_raw,inclusion_score,child_enrollment_rate,adult_enrollment_rate,age_gap,age_equity_category,cis_quartile,vulnerability_score,vulnerability_level,baseline_child,baseline_adult,baseline_total,momentum,risk_score,priority_rank,risk_category
Arunachal Pradesh,West Kameng,2025-12,21.0,0.0,21.0,0.035555556,5.0,18.0,77.0,343.0,420.0,0.09284722,7.0,816.0,240.0,1056.0,0.24955882,7.0,2025-12-01,67.091,14.640127,0.212,0.715,21.0,37.091,-0.744,73.8,3.465,48.0,6.0,2.5,0.34,0,0,0.1891683490632742,0,Arunachal Pradesh,West Kameng,0.0,0.21212121212121213,0.0,-0.21212121212121213,Child-Favored,Q1 (Worst),41.52537486800423,Moderate,28.88888888888889,2.0,30.88888888888889,0.20111111111111113,100.0,11,🔴 CRITICAL
Meghalaya,West Jaintia Hills,2025-12,265.0,5.0,270.0,0.26333332,4.0,33.0,143.0,804.0,947.0,0.41148648,4.0,458.0,115.0,573.0,0.27954546,4.0,2025-12-01,5.609,177.84544,0.648,0.377,265.0,1.722,-0.728,116.92,1.978,2.114,4.0,0.25,0.69,0,0,0.1895366644807314,0,Meghalaya,West Jaintia Hills,0.15289999999999987,0.6479217603911981,0.006172839506172839,-0.6417489208850252,Child-Favored,Q4 (Best),32.77768743400211,Moderate,890.8888888888889,422.0,1312.888888888889,-0.23188888888888892,100.0,12,🔴 CRITICAL
Andhra Pradesh,West Godavari,2025-12,1138.0,5.0,1143.0,0.059382305,114.0,599.0,2848.0,20378.0,23226.0,0.24296393,115.0,12900.0,9890.0,22790.0,0.29580176,117.0,2025-12-01,40.224,6564.06,0.285,0.495,1138.0,11.326,-0.43,132.61,5.112,19.921,115.0,2.412,0.54,4,4,0.066764975511992,0,Andhra Pradesh,West Godavari,0.0,0.2854276398294457,0.0002452904238618524,-0.28518234940558385,Child-Favored,Q1 (Worst),37.024255543822605,Moderate,656.7777777777778,2.6666666666666665,659.4444444444445,0.28555555555555556,100.0,13,🔴 CRITICAL
Meghalaya,West Garo Hills,2025-12,201.0,31.0,232.0,0.15765958,8.0,47.0,205.0,1635.0,1840.0,0.32005405,10.0,656.0,666.0,1322.0,0.27953947,9.0,2025-12-01,13.571,290.7754,0.494,0.418,201.0,3.248,-0.795,112.93,4.093,5.674,9.0,1.5,0.6,0,0,0.2018593009902696,0,Meghalaya,West Garo Hills,0.0,0.49385749385749383,0.01859628074385123,-0.4752612131136426,Child-Favored,Q3 (Medium),25.729915522703273,Moderate,1259.4444444444443,504.44444444444446,1763.888888888889,-0.17744444444444443,100.0,14,🔴 CRITICAL
Delhi,West Delhi,2025-12,1412.0,19.0,1431.0,0.4392381,10.0,105.0,2121.0,21825.0,23946.0,2.4520636,11.0,8051.0,7473.0,15524.0,2.019395,11.0,2025-12-01,27.563,7648.4463,0.4,0.393,1412.0,5.698,-0.459,1196.06,6.181,10.841,11.0,1.4,4.47,0,0,0.057670200403579,0,Delhi,West Delhi,0.0,0.39954725523486134,0.0008697642481116961,-0.39867749098674965,Child-Favored,Q2 (Low),30.87316789862724,Moderate,2045.0,112.11111111111111,2157.1111111111113,0.08133333333333333,100.0,15,🔴 CRITICAL
Bihar,West Champaran,2025-12,4103.0,42.0,4145.0,0.6853333,19.0,195.0,4539.0,40089.0,44628.0,2.6462133,19.0,11047.0,14586.0,25633.0,1.8706788,19.0,2025-12-01,16.947,5805.767,0.475,0.365,4103.0,2.692,-0.331,1211.4,4.643,6.183,19.0,0.429,4.52,1,1,-0.0558838993147594,1,Bihar,West Champaran,0.0,0.474719426125188,0.0010465463968902622,-0.47367287972829775,Child-Favored,Q3 (Medium),38.20686378035902,Moderate,3295.0,87.0,3382.0,0.10188888888888889,100.0,16,🔴 CRITICAL
Sikkim,West,2025-12,10.0,1.0,11.0,0.0425,3.0,8.0,29.0,350.0,379.0,0.21803571,3.0,50.0,105.0,155.0,0.09686275,3.0,2025-12-01,44.5,137.03041,0.25,0.29,10.0,4.545,-0.884,53.4,8.775,12.917,3.0,0.0,0.31,0,0,0.1891750129294368,0,Sikkim,West,0.0,0.25,0.002840909090909091,-0.2471590909090909,Child-Favored,Q1 (Worst),58.909714889123556,High,22.555555555555557,0.5555555555555556,23.11111111111111,0.23511111111111113,100.0,17,🔴 CRITICAL
Kerala,Wayanad,2025-12,204.0,3.0,207.0,0.060566038,19.0,106.0,295.0,4062.0,4357.0,0.28683028,20.0,1313.0,2294.0,3607.0,0.24965592,20.0,2025-12-01,38.288,887.1214,0.408,0.453,204.0,6.405,-0.447,132.73,8.13,17.341,20.0,-0.488,0.54,3,3,0.189081476443103,0,Kerala,Wayanad,0.0,0.408,0.0007378258730939498,-0.407262174126906,Child-Favored,Q2 (Low),60.57292502639916,High,166.44444444444446,2.0,168.44444444444446,0.2836666666666667,100.0,18,🔴 CRITICAL
Andhra Pradesh,Ananthapur,2025-12,456.0,0.0,456.0,0.045816995,83.0,306.0,1924.0,4528.0,6452.0,0.105061285,94.0,3475.0,3053.0,6528.0,0.12093333,92.0,2025-12-01,28.403,1017.32263,0.192,0.503,456.0,7.604,-0.201,48.07,1.902,14.284,90.0,1.676,0.23,2,2,0.1600782797075772,0,Andhra Pradesh,Ananthapur,0.0,0.19151616967660648,0.0,-0.19151616967660648,Child-Favored,Q1 (Worst),41.2997782470961,Moderate,221.55555555555554,0.0,221.55555555555554,0.311,100.0,19,🔴 CRITICAL
Andhra Pradesh,Anantapur,2025-12,648.0,0.0,648.0,0.052973684,87.0,380.0,2148.0,12850.0,14998.0,0.1998675,91.0,3306.0,8544.0,11850.0,0.18947317,91.0,2025-12-01,41.368,2698.044,0.232,0.441,648.0,5.094,-0.533,99.44,4.594,18.259,90.0,1.676,0.39,2,2,0.1322819366677122,0,Andhra Pradesh,Anantapur,0.0,0.23167679656775117,0.0,-0.23167679656775117,Child-Favored,Q1 (Worst),39.71049630411827,Moderate,490.55555555555554,0.0,490.55555555555554,0.27411111111111114,100.0,20,🔴 CRITICAL
Gujarat,Anand,2025-12,1086.0,126.0,1212.0,0.106925204,63.0,361.0,935.0,8632.0,9567.0,0.20071149,65.0,6351.0,6114.0,12465.0,0.28806892,65.0,2025-12-01,18.163,3310.2527,0.537,0.566,1086.0,5.843,-0.335,113.57,4.331,10.276,64.0,2.824,0.49,3,3,0.1739193511195833,0,Gujarat,Anand,0.0,0.5370919881305638,0.014385203790387031,-0.5227067843401768,Child-Favored,Q4 (Best),23.72538542766631,Low,716.0,59.55555555555556,775.5555555555555,0.44855555555555554,100.0,21,🔴 CRITICAL
Andhra Pradesh,Anakapalli,2025-12,122.0,4.0,126.0,0.043370787,33.0,89.0,461.0,3544.0,4005.0,0.13543822,39.0,455.0,519.0,974.0,0.064273685,38.0,2025-12-01,39.205,1327.891,0.209,0.196,122.0,3.699,-0.16,44.86,6.075,7.669,37.0,0.118,0.2,0,0,0.1705677416782287,0,Andhra Pradesh,Anakapalli,0.0,0.2089041095890411,0.0011270780501549732,-0.20777703153888613,Child-Favored,Q1 (Worst),58.43197465681098,High,59.44444444444444,0.8888888888888888,60.333333333333336,0.31555555555555553,100.0,22,🔴 CRITICAL
Uttar Pradesh,Amroha,2025-12,1515.0,16.0,1531.0,0.40130082,13.0,123.0,1358.0,17106.0,18464.0,1.7884985,18.0,7643.0,5138.0,12781.0,1.4120548,17.0,2025-12-01,20.395,5874.651,0.527,0.409,1515.0,5.042,-0.301,637.65,5.958,8.343,16.0,0.214,3.2,2,2,0.1182722070194197,0,Uttar Pradesh,Amroha,0.0,0.5271398747390397,0.0009344156981837294,-0.5262054590408559,Child-Favored,Q4 (Best),40.0160929250264,Moderate,897.8888888888889,6.777777777777778,904.6666666666666,0.29988888888888887,100.0,23,🔴 CRITICAL
Punjab,Amritsar,2025-12,754.0,48.0,802.0,0.11283186,37.0,226.0,697.0,12381.0,13078.0,0.44225603,49.0,7570.0,7892.0,15462.0,0.605565,47.0,2025-12-01,35.542,2839.4385,0.519,0.542,754.0,10.026,-0.639,212.99,8.56,19.255,44.0,2.75,1.05,3,3,0.1380848286788752,0,Punjab,Amritsar,0.0,0.5192837465564738,0.0038616251005631538,-0.5154221214559106,Child-Favored,Q3 (Medium),25.175934530095034,Moderate,1045.3333333333333,27.444444444444443,1072.7777777777778,0.07922222222222222,100.0,24,🔴 CRITICAL
Gujarat,Amreli,2025-12,828.0,27.0,855.0,0.122421525,35.0,223.0,520.0,6818.0,7338.0,0.24604167,39.0,3998.0,3584.0,7582.0,0.3161917,40.0,2025-12-01,17.43,2672.645,0.614,0.508,828.0,4.823,-0.259,129.74,5.074,8.857,38.0,1.294,0.56,3,3,0.1867615556947878,0,Gujarat,Amreli,0.0,0.6137879911045219,0.003943908851884312,-0.6098440822526375,Child-Favored,Q4 (Best),19.852164730728617,Low,449.6666666666667,27.333333333333332,477.0,0.32433333333333336,100.0,25,🔴 CRITICAL
Maharashtra,Amravati,2025-12,1236.0,2.0,1238.0,0.11177966,42.0,354.0,1288.0,15790.0,17078.0,0.46859574,43.0,12111.0,22050.0,34161.0,1.0942502,43.0,2025-12-01,41.355,14618.047,0.49,0.667,1236.0,9.791,-0.46,397.2,6.254,27.571,43.0,1.095,1.56,1,1,0.0629414131330566,0,Maharashtra,Amravati,0.0,0.4895049504950495,0.00012663838409421896,-0.4893783121109553,Child-Favored,Q3 (Medium),26.810084477296726,Moderate,756.4444444444445,11.88888888888889,768.3333333333334,0.48688888888888887,100.0,26,🔴 CRITICAL
Uttar Pradesh,Amethi,2025-12,1202.0,2.0,1204.0,0.14025548,37.0,274.0,1444.0,15889.0,17333.0,0.58329856,48.0,6607.0,4929.0,11536.0,0.48415366,49.0,2025-12-01,23.958,4511.784,0.454,0.4,1202.0,5.492,-0.587,213.84,6.003,9.573,45.0,2.286,1.07,2,2,0.1550699293865283,0,Uttar Pradesh,Amethi,0.0,0.45409897997733284,0.00012584948401711554,-0.4539731304933157,Child-Favored,Q3 (Medium),28.0589651531151,Moderate,793.4444444444445,6.222222222222222,799.6666666666666,0.26811111111111113,100.0,27,🔴 CRITICAL
Uttar Pradesh,Ambedkar Nagar,2025-12,1080.0,4.0,1084.0,0.13888,30.0,250.0,1407.0,15004.0,16411.0,0.6525524,38.0,6138.0,4451.0,10589.0,0.53101087,37.0,2025-12-01,24.885,4496.9043,0.434,0.392,1080.0,5.678,-0.659,254.72,6.032,9.759,35.0,1.571,1.18,2,2,0.1534341572304817,0,Uttar Pradesh,Ambedkar Nagar,0.0,0.4340836012861736,0.0002665067626091012,-0.43381709452356454,Child-Favored,Q2 (Low),29.088331573389652,Moderate,883.5555555555555,5.555555555555555,889.1111111111111,0.149,100.0,28,🔴 CRITICAL
Haryana,Ambala,2025-12,538.0,4.0,542.0,0.12161972,19.0,142.0,627.0,5699.0,6326.0,0.39719298,22.0,3052.0,4926.0,7978.0,0.5885584,22.0,2025-12-01,26.343,1938.5114,0.461,0.558,538.0,5.662,-0.268,223.5,4.891,14.692,21.0,1.444,0.99,3,3,0.1894996395030079,0,Haryana,Ambala,0.0,0.4614065180102916,0.0007012622720897616,-0.4607052557382018,Child-Favored,Q3 (Medium),27.784519535374862,Moderate,353.8888888888889,3.6666666666666665,357.55555555555554,0.4146666666666667,100.0,29,🔴 CRITICAL
Rajasthan,Alwar,2025-12,2754.0,35.0,2789.0,0.20363636,48.0,440.0,3438.0,20824.0,24262.0,0.6283775,48.0,18024.0,12235.0,30259.0,0.90768373,48.0,2025-12-01,19.542,6792.185,0.445,0.555,2754.0,6.542,-0.632,376.01,3.368,10.846,48.0,2.062,1.54,2,2,0.0540824508577251,0,Rajasthan,Alwar,0.0,0.4446956240917165,0.0016778523489932886,-0.44301777174272317,Child-Favored,Q3 (Medium),28.369070749736004,Moderate,2564.222222222222,33.888888888888886,2598.1111111111113,0.4334444444444444,100.0,30,🔴 CRITICAL
Uttarakhand,Almora,2025-12,272.0,0.0,272.0,0.060642857,31.0,140.0,537.0,3999.0,4536.0,0.17936039,35.0,4857.0,3281.0,8138.0,0.3652507,36.0,2025-12-01,46.425,1495.201,0.336,0.642,272.0,17.791,1.0,123.05,4.937,29.81,34.0,1.692,0.54,0,0,0.1787824338613253,0,Uttarakhand,Almora,0.0,0.3358024691358025,0.0,-0.3358024691358025,Child-Favored,Q2 (Low),34.67069693769799,Moderate,135.9,0.8,136.7,0.298,100.0,31,🔴 CRITICAL
Andhra Pradesh,Alluri Sitharama Raju,2025-12,239.0,8.0,247.0,0.05984375,32.0,128.0,312.0,2082.0,2394.0,0.10755994,39.0,868.0,1362.0,2230.0,0.13040219,39.0,2025-12-01,18.645,445.06442,0.433,0.482,239.0,3.617,-0.362,41.66,3.786,8.992,37.0,0.118,0.24,0,0,0.1960735500856575,0,Andhra Pradesh,Alluri Sitharama Raju,0.0,0.4329710144927536,0.003825920612147298,-0.4291450938806063,Child-Favored,Q2 (Low),46.58065469904963,Moderate,135.66666666666666,3.7777777777777777,139.44444444444446,0.2931111111111111,100.0,32,🔴 CRITICAL
Uttar Pradesh,Allahabad,2025-12,1894.0,1.0,1895.0,0.15802598,44.0,385.0,3397.0,38627.0,42024.0,1.1694305,51.0,13273.0,10770.0,24043.0,0.8355711,50.0,2025-12-01,34.845,11192.938,0.358,0.364,1894.0,7.004,-0.65,452.51,7.299,12.681,48.0,2.5,2.01,4,4,0.0183590440721654,0,Uttar Pradesh,Allahabad,0.0,0.35789871504157217,2.5887286753475367e-05,-0.3578728277548187,Child-Favored,Q2 (Low),33.20385427666315,Moderate,1466.6666666666667,5.444444444444445,1472.111111111111,0.2611111111111111,100.0,33,🔴 CRITICAL
Madhya Pradesh,Alirajpur,2025-12,871.0,113.0,984.0,0.44041666,8.0,72.0,561.0,4014.0,4575.0,0.71592236,11.0,2564.0,3274.0,5838.0,1.0070589,11.0,2025-12-01,10.572,1423.1455,0.608,0.561,871.0,2.94,-0.197,335.9,2.88,5.927,10.0,0.1,1.72,0,0,0.1851128400505359,0,Madhya Pradesh,Alirajpur,0.0,0.6078157711095603,0.027374031007751938,-0.5804417401018084,Child-Favored,Q4 (Best),37.934910242872235,Moderate,737.8888888888889,41.0,778.8888888888889,0.2574444444444445,100.0,34,🔴 CRITICAL
Bihar,Arwal,2025-12,556.0,2.0,558.0,0.20813954,15.0,86.0,556.0,5073.0,5629.0,0.57427216,18.0,1335.0,2407.0,3742.0,0.4880567,15.0,2025-12-01,16.764,1698.5657,0.5,0.399,556.0,2.397,-0.484,191.24,4.56,6.694,16.0,0.214,1.06,0,0,0.2007742141852298,0,Bihar,Arwal,0.0,0.4995507637017071,0.0003940110323089047,-0.4991567526693982,Child-Favored,Q3 (Medium),41.251066525871174,Moderate,425.77777777777777,3.7777777777777777,429.55555555555554,0.33344444444444443,100.0,35,🔴 CRITICAL
Gujarat,Arvalli,2025-12,406.0,24.0,430.0,0.097571425,21.0,140.0,418.0,2004.0,2422.0,0.15569139,21.0,2782.0,1400.0,4182.0,0.29913333,21.0,2025-12-01,15.323,889.2296,0.492,0.633,406.0,6.835,-0.274,103.19,2.458,9.703,21.0,0.294,0.45,0,0,0.203607338652038,0,Gujarat,Arvalli,0.0,0.4921212121212121,0.011828486939379004,-0.48029272518183314,Child-Favored,Q3 (Medium),40.00541710665259,Moderate,252.66666666666666,13.0,265.6666666666667,0.262,100.0,36,🔴 CRITICAL
Tamil Nadu,Ariyalur,2025-12,366.0,17.0,383.0,0.07481481,29.0,162.0,1185.0,3636.0,4821.0,0.22668129,30.0,4867.0,2729.0,7596.0,0.3795814,31.0,2025-12-01,32.336,1278.2056,0.236,0.612,366.0,13.262,-0.492,136.45,2.354,19.781,30.0,0.033,0.61,2,2,0.1822142196402106,0,Tamil Nadu,Ariyalur,0.0,0.23582474226804123,0.004652435686918446,-0.23117230658112278,Child-Favored,Q1 (Worst),58.564371700105596,High,259.1111111111111,8.88888888888889,268.0,0.2786666666666667,100.0,37,🔴 CRITICAL
Bihar,Araria,2025-12,2596.0,17.0,2613.0,0.48682082,18.0,173.0,2223.0,27420.0,29643.0,1.722937,22.0,8124.0,10174.0,18298.0,1.3883765,21.0,2025-12-01,18.34,2605.2844,0.539,0.382,2596.0,3.128,-0.376,773.24,5.692,7.0,20.0,0.5,3.11,1,1,0.0550907503135691,0,Bihar,Araria,0.0,0.5385892116182572,0.0006195786864931846,-0.537969632931764,Child-Favored,Q4 (Best),33.63099260823653,Moderate,1717.111111111111,13.88888888888889,1731.0,0.5137777777777778,100.0,38,🔴 CRITICAL
Madhya Pradesh,Anuppur,2025-12,860.0,1.0,861.0,0.23423728,14.0,118.0,516.0,3745.0,4261.0,0.37928176,19.0,2709.0,4443.0,7152.0,0.6722449,18.0,2025-12-01,13.24,1341.0261,0.625,0.627,860.0,3.146,0.307,219.48,2.72,8.297,17.0,0.8,1.05,2,2,0.1905315394492028,0,Madhya Pradesh,Anuppur,0.0,0.6245461147421931,0.0002668801708033093,-0.6242792345713898,Child-Favored,Q4 (Best),23.169429778247096,Low,357.0,1.4444444444444444,358.44444444444446,0.36744444444444446,100.0,39,🔴 CRITICAL
Odisha,Anugul,2025-12,15.0,0.0,15.0,0.03,7.0,15.0,7.0,82.0,89.0,0.0335,20.0,20.0,54.0,74.0,0.03484375,20.0,2025-12-01,10.188,239.75266,0.652,0.451,15.0,1.25,-0.531,3.4,3.565,4.625,16.0,2.4,0.07,0,0,0.1952553850775217,0,Orissa,Anugul,0.0,0.6521739130434783,0.0,-0.6521739130434783,Child-Favored,Q4 (Best),17.722745512143607,Low,9.409090909090908,0.0,9.409090909090908,0.30822727272727274,100.0,40,🔴 CRITICAL
Odisha,Anugul,2025-12,23.0,0.0,23.0,0.036842104,11.0,19.0,32.0,439.0,471.0,0.065466665,20.0,64.0,266.0,330.0,0.05685083,20.0,2025-12-01,33.375,233.77126,0.411,0.411,23.0,2.667,1.0,15.4,7.839,13.75,17.0,0.385,0.12,0,0,0.19505360142872,0,Odisha,Anugul,0.0,0.4107142857142857,0.0,-0.4107142857142857,Child-Favored,Q2 (Low),42.80728616684266,Moderate,9.409090909090908,0.0,9.409090909090908,0.30822727272727274,100.0,41,🔴 CRITICAL
Andhra Pradesh,Annamayya,2025-12,218.0,21.0,239.0,0.049597315,44.0,149.0,674.0,4436.0,5110.0,0.14940639,46.0,734.0,605.0,1339.0,0.07328696,46.0,2025-12-01,26.871,1376.0887,0.244,0.208,218.0,3.352,-0.219,47.07,4.991,5.579,45.0,0.353,0.22,0,0,0.1732674629371829,0,Andhra Pradesh,Annamayya,0.0,0.24412094064949608,0.004710632570659489,-0.2394103080788366,Child-Favored,Q1 (Worst),51.59124604012673,High,101.77777777777777,11.666666666666666,113.44444444444444,0.309,100.0,42,🔴 CRITICAL
Arunachal Pradesh,Anjaw,2025-12,3.0,0.0,3.0,0.045,1.0,2.0,20.0,98.0,118.0,0.152,1.0,85.0,38.0,123.0,0.20736842,1.0,2025-12-01,60.25,31.749016,0.125,0.508,3.0,21.25,-0.857,60.25,4.083,30.75,1.0,0.0,0.36,0,0,0.1891405851067088,0,Arunachal Pradesh,Anjaw,0.0,0.125,0.0,-0.125,Child-Favored,Q1 (Worst),65.65865892291447,High,3.7777777777777777,0.3333333333333333,4.111111111111111,0.23811111111111108,100.0,43,🔴 CRITICAL
Odisha,Angul,2025-12,635.0,2.0,637.0,0.104051284,29.0,195.0,904.0,5577.0,6481.0,0.3023768,34.0,4086.0,2947.0,7033.0,0.368374,34.0,2025-12-01,21.182,3304.3706,0.412,0.52,635.0,6.425,0.412,137.9,3.623,11.024,32.0,1.538,0.67,3,3,0.1937332261589787,0,Odisha,Angul,0.0,0.41233766233766234,0.00035842293906810036,-0.4119792393985942,Child-Favored,Q2 (Low),30.071024287222812,Moderate,187.25,0.875,188.125,0.049687499999999996,100.0,44,🔴 CRITICAL
Andaman and Nicobar Islands,Andamans,2025-12,20.0,0.0,20.0,0.0375,4.0,16.0,2.0,299.0,301.0,0.0797479,9.0,90.0,232.0,322.0,0.09771428,7.0,2025-12-01,29.667,113.84639,0.87,0.516,20.0,4.286,-0.259,29.67,13.0,15.333,7.0,1.286,0.18,0,0,0.167673775766269,0,Andaman & Nicobar Islands,Andamans,0.0,0.8695652173913043,0.0,-0.8695652173913043,Child-Favored,Q4 (Best),7.439820485744457,Low,8.333333333333334,0.0,8.333333333333334,0.3045555555555556,100.0,45,🔴 CRITICAL
Jammu and Kashmir,Anantnag,2025-12,685.0,6.0,691.0,0.16197081,15.0,137.0,1160.0,5924.0,7084.0,0.57394475,16.0,9075.0,2600.0,11675.0,1.017946,16.0,2025-12-01,27.108,3599.0718,0.371,0.622,685.0,13.229,1.0,390.81,3.212,16.871,16.0,1.833,1.59,3,3,0.1608339177838075,0,Jammu and Kashmir,Anantnag,0.0,0.3710725893824485,0.0010116337885685382,-0.37006095559387997,Child-Favored,Q2 (Low),32.30875395987328,Moderate,255.30769230769232,2.6923076923076925,258.0,0.231,100.0,46,🔴 CRITICAL
